image,latitude,longitude,altitude,omega,phi,kappa,xyAccuracy,zAccuracy
Image_000001.jpg,9.98009262826237e-08,4.2530551265243806e-08,-0.0008268579840660095,-46.93565,6.549103,166.08447,0.1,0.1
Image_000002.jpg,-2.421971303524092e-08,4.1863888190892825e-08,-0.010921761393547058,-40.17127,14.9298115,165.19131,0.1,0.1
Image_000003.jpg,4.057542167617025e-08,3.0292967074325035e-08,-0.008546784520149231,-42.439068,6.895186,167.62872,0.1,0.1
Image_000004.jpg,-2.989490692133527e-08,2.4616244643943674e-08,-0.015526862815022469,-35.54415,7.743137,166.24733,0.1,0.1
Image_000005.jpg,-4.719019498432097e-08,5.7284554883012296e-08,-0.023297512903809547,-30.581408,8.627522,165.89053,0.1,0.1
Image_000006.jpg,-1.0635539956559993e-07,9.066104387804643e-08,-0.03367578983306885,-22.703276,14.431188,163.70738,0.1,0.1
Image_000007.jpg,-1.1731605879811121e-07,1.0572499439929539e-07,-0.03424585610628128,-22.652334,12.563254,163.7712,0.1,0.1
Image_000008.jpg,-8.779617498285378e-08,1.2512137546738665e-07,-0.026920825242996216,-27.648472,9.703987,165.36526,0.1,0.1
